,wins,losses,average,median,forfeits,blanks
FantaTanked,1,0,1:28:23,1:28:23,0,0
mkbgnr,0,1,2:19:04,2:19:04,0,0
Fenyan,1,0,1:28:57,1:28:57,0,0
Davpat,0,1,1:30:12,1:30:12,0,0
Link11,1,0,1:18:17,1:18:17,0,0
Runnerguy2489,0,1,1:20:53,1:20:53,0,0
Lake_oot,1,0,1:38:52,1:38:52,0,0
Midboss,0,1,1:52:01,1:52:01,0,0
MikeKatz45,1,0,1:17:04,1:17:04,0,0
ZAR,0,1,2:03:10,2:03:10,0,0
xwillmarktheplace,1,0,1:20:37,1:20:37,0,0
moosecrap,0,1,1:40:22,1:40:22,0,0
Titou,1,0,1:11:59,1:11:59,0,0
CoffeePot,0,1,1:41:27,1:41:27,0,0
Fleush,1,0,1:22:59,1:22:59,0,0
DiamondFlash27,0,1,1:31:01,1:31:01,0,0
MooseOoT,1,0,1:18:32,1:18:32,0,0
Kayla,0,1,2:13:29,2:13:29,0,0
MatttInTheHat,1,0,1:27:51,1:27:51,0,0
noface099,0,1,2:13:39,2:13:39,0,1
tob3000,1,0,1:11:00,1:11:00,0,0
PsyMarth,0,1,1:19:09,1:19:09,0,0
AverageGreg,1,0,1:17:48,1:17:48,0,0
MutantAura,0,1,1:36:23,1:36:23,0,0
Bonooru,1,0,1:14:09,1:14:09,0,0
Tashman91,0,1,1:38:12,1:38:12,0,0
scaramanga,1,0,1:13:49,1:13:49,0,0
Nalle,0,1,1:20:25,1:20:25,0,0
QuickKiran,1,0,1:20:00,1:20:00,0,0
Chromium_Light,0,1,nan,nan,1,1
Xanra,1,0,1:23:58,1:23:58,0,1
Myelin,0,1,2:06:22,2:06:22,0,1
Gombill,1,0,1:27:57,1:27:57,0,0
Countdown,0,1,2:19:38,2:19:38,0,0
PhoenixFeather,1,0,1:14:38,1:14:38,0,0
blinkzy,0,1,1:37:46,1:37:46,0,1
Timato,1,0,1:08:39,1:08:39,0,0
gc_one,0,1,nan,nan,1,1
